Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
1,82504,82504,10000,07-10-2025,1
2,712950,712950,10000,07-04-2025,1
3,691446,691446,10000,20-01-2025,1
4,131176,131176,10000,14-04-2025,1
5,950589,950589,10000,28-03-2025,1
6,910385,910385,10000,21-11-2025,1
7,611436,611436,10000,28-04-2025,1
8,837848,837848,10000,14-03-2025,1
9,688312,688312,10000,07-09-2025,1
10,417249,417249,10000,07-04-2025,1
11,804979,804979,10000,21-04-2025,1
12,319229,319229,10000,14-08-2025,1
13,490961,490961,10000,28-03-2025,1
14,458592,458592,10000,13-02-2025,1
15,580270,580270,10000,14-11-2025,1
16,520026,520026,10000,14-04-2025,1
17,876556,876556,10000,21-12-2025,1
18,835212,835212,10000,28-07-2025,1
19,719561,719561,10000,07-12-2025,1
20,942704,942704,10000,20-02-2025,1
21,396303,396303,10000,14-10-2025,1
22,99813,99813,10000,07-06-2025,1
23,201193,201193,10000,28-04-2025,1
24,436755,436755,10000,13-02-2025,1
25,309515,309515,10000,28-12-2025,1
26,446762,446762,10000,28-06-2025,1
27,265948,265948,10000,27-01-2025,1
28,653472,653472,10000,14-07-2025,1
29,758692,758692,10000,14-05-2025,1
30,879566,879566,10000,21-11-2025,1
31,371513,371513,10000,14-03-2025,1
32,362803,362803,10000,21-10-2025,1
33,448424,448424,10000,21-10-2025,1
34,624407,624407,10000,21-05-2025,1
35,925951,925951,10000,07-09-2025,1
36,896546,896546,10000,27-01-2025,1
37,278532,278532,10000,21-03-2025,1
38,135028,135028,10000,07-05-2025,1
39,532865,532865,10000,14-05-2025,1
40,432551,432551,10000,14-09-2025,1
41,398607,398607,10000,28-05-2025,1
42,473990,473990,10000,14-03-2025,1
43,458532,458532,10000,07-12-2025,1
44,50092,50092,10000,21-03-2025,1
45,303180,303180,10000,20-01-2025,1
46,459648,459648,10000,21-11-2025,1
47,86567,86567,10000,07-10-2025,1
48,704795,704795,10000,27-01-2025,1
49,439661,439661,10000,28-09-2025,1
50,814921,814921,10000,14-05-2025,1
51,440298,440298,10000,07-03-2025,1
52,765582,765582,10000,21-03-2025,1
